2021-04-17 11:26:25,912;aequilibrae;INFO ; Opened project on C:/Users/sd/Pyton Project/AequilibraE_Tap/TraficAssignment\1_project
2021-04-17 14:47:26,910;aequilibrae;INFO ; 36,0.0012393651479897772,0.06536473861299999
2021-04-17 14:47:27,019;aequilibrae;INFO ; 37,0.001068496281987458,0.1070395228745751
2021-04-17 14:47:27,134;aequilibrae;INFO ; 38,0.0010899690080107575,0.09864062409464633
2021-04-17 14:47:27,243;aequilibrae;INFO ; 39,0.0009886948497213554,0.06027623911574854
2021-04-17 14:47:27,359;aequilibrae;INFO ; 40,0.0012632086912209984,0.22288089471596745
2021-04-17 14:47:27,476;aequilibrae;INFO ; 41,0.0011655716534117579,0.19775964942027757
2021-04-17 14:47:27,592;aequilibrae;INFO ; 42,0.0012299958308326796,0.31703484868391174
2021-04-17 14:47:27,707;aequilibrae;INFO ; 43,0.0012902531663816525,0.3422879827754725
2021-04-17 14:47:27,819;aequilibrae;INFO ; 44,0.0009979531087615028,0.7332060974405566
2021-04-17 14:47:27,939;aequilibrae;INFO ; 45,0.001031552392748896,0.013815368592969583
2021-04-17 14:47:28,055;aequilibrae;INFO ; 46,0.001026536316209264,0.018092240160068756
2021-04-17 14:47:28,172;aequilibrae;INFO ; 47,0.0012456421811277987,0.02078052954717726
2021-04-17 14:47:28,281;aequilibrae;INFO ; 48,0.0010050838918173413,0.03525586966247702
2021-04-17 14:47:28,391;aequilibrae;INFO ; 49,0.0008051129479356935,0.04736609330902639
2021-04-17 14:47:28,501;aequilibrae;INFO ; 50,0.0007820896246047057,0.019670751403857677
2021-04-17 14:47:28,615;aequilibrae;INFO ; 51,0.000741544377937562,0.0516972912251217
2021-04-17 14:47:28,731;aequilibrae;INFO ; 52,0.0006642290713658089,0.016424071475223557
2021-04-17 14:47:28,839;aequilibrae;INFO ; 53,0.0005602266700067631,0.030148236950863123
2021-04-17 14:47:28,949;aequilibrae;INFO ; 54,0.0007119399366949594,0.040572838306982356
2021-04-17 14:47:29,068;aequilibrae;INFO ; 55,0.000715118672533784,0.03481548398771057
2021-04-17 14:47:29,187;aequilibrae;INFO ; 56,0.000731233984659985,0.03519693476385383
2021-04-17 14:47:29,306;aequilibrae;INFO ; 57,0.0006253995809721084,0.041289408305534306
2021-04-17 14:47:29,422;aequilibrae;INFO ; 58,0.0006611243487231434,0.056274246846492286
2021-04-17 14:47:29,539;aequilibrae;INFO ; 59,0.0005118879407789485,0.03551126601317289
2021-04-17 14:47:29,653;aequilibrae;INFO ; 60,0.0004164956743986197,0.03359472849710203
2021-04-17 14:47:29,763;aequilibrae;INFO ; 61,0.0005276056668460807,0.034597199499154976
2021-04-17 14:47:29,880;aequilibrae;INFO ; 62,0.0004543273791578615,0.02737878055926235
2021-04-17 14:47:29,999;aequilibrae;INFO ; 63,0.00027615861216895776,0.021650261238303103
2021-04-17 14:47:30,115;aequilibrae;INFO ; 64,0.00033940086073816017,0.03256037717866355
2021-04-17 14:47:30,231;aequilibrae;INFO ; 65,0.0002976939889586848,0.020112800179945038
2021-04-17 14:47:30,347;aequilibrae;INFO ; 66,0.00025092551331773433,0.022756081313319652
2021-04-17 14:47:30,462;aequilibrae;INFO ; 67,0.000331715342752201,0.03884336155979748
2021-04-17 14:47:30,578;aequilibrae;INFO ; 68,0.0004114312540155159,0.06605248533361997
2021-04-17 14:47:30,696;aequilibrae;INFO ; 69,0.0004193609016105861,0.09900297545614871
2021-04-17 14:47:30,816;aequilibrae;INFO ; 70,0.00039997098801654546,0.041201956628173074
2021-04-17 14:47:30,932;aequilibrae;INFO ; 71,0.0003300114299339614,0.05508415364883442
2021-04-17 14:47:31,053;aequilibrae;INFO ; 72,0.00037675962117619615,0.06937522965718293
2021-04-17 14:47:31,172;aequilibrae;INFO ; 73,0.0004487932726076006,0.12227813840641442
2021-04-17 14:47:31,287;aequilibrae;INFO ; 74,0.0003214075324050997,0.07367413436317946
2021-04-17 14:47:31,404;aequilibrae;INFO ; 75,0.00031102525540158,0.052775206617842615
2021-04-17 14:47:31,512;aequilibrae;INFO ; 76,0.00024068035481052512,0.05518633595730291
2021-04-17 14:47:31,620;aequilibrae;INFO ; 77,0.0002556425135196483,0.05012630409674624
2021-04-17 14:47:31,728;aequilibrae;INFO ; 78,0.00024844020007547745,0.0463513310028061
2021-04-17 14:47:31,837;aequilibrae;INFO ; 79,0.0002314944558734264,0.03528127569919809
2021-04-17 14:47:31,944;aequilibrae;INFO ; 80,0.00017558345046302646,0.019635617480294992
2021-04-17 14:47:32,053;aequilibrae;INFO ; 81,0.0001166404506150997,0.009672413037657368
2021-04-17 14:47:32,159;aequilibrae;INFO ; 82,0.00012562689065768705,0.01288746432766716
2021-04-17 14:47:32,267;aequilibrae;INFO ; 83,7.278672731389229e-05,0.008858017305274806
2021-04-17 14:47:32,376;aequilibrae;INFO ; 84,9.793807404108434e-05,0.010365223637959704
2021-04-17 14:47:32,493;aequilibrae;INFO ; 85,0.00011666509013177552,0.017958372990059344
2021-04-17 14:47:32,603;aequilibrae;INFO ; 86,0.00014585681048495298,0.038453570485901145
2021-04-17 14:47:32,713;aequilibrae;INFO ; 87,0.0002376244175484512,0.11343456810120355
2021-04-17 14:47:32,865;aequilibrae;INFO ; 88,0.00027958610926228413,0.1061354642886666
2021-04-17 14:47:32,977;aequilibrae;INFO ; 89,0.00027609651783959253,0.15221748864494672
2021-04-17 14:47:33,088;aequilibrae;INFO ; 90,0.00020673161136517036,0.05792997017306217
2021-04-17 14:47:33,196;aequilibrae;INFO ; 91,0.00018376373611966515,0.05858281314941664
2021-04-17 14:47:33,305;aequilibrae;INFO ; 92,0.00025188846379768724,0.07856390068376365
2021-04-17 14:47:33,414;aequilibrae;INFO ; 93,0.00018403865328747775,0.05291962943564558
2021-04-17 14:47:33,522;aequilibrae;INFO ; 94,0.00017727194612370808,0.03132264383355995
2021-04-17 14:47:33,631;aequilibrae;INFO ; 95,0.00016647615972958322,0.04983377598425636
2021-04-17 14:47:33,740;aequilibrae;INFO ; 96,0.00016927312712470064,0.06659231095895118
2021-04-17 14:47:33,850;aequilibrae;INFO ; 97,0.0001576486689182636,0.031049549955101678
2021-04-17 14:47:33,966;aequilibrae;INFO ; 98,0.00011353185650731545,0.02150848889408245
2021-04-17 14:47:34,074;aequilibrae;INFO ; 99,0.00010776857226920784,0.007782447434567626
2021-04-17 14:47:34,182;aequilibrae;INFO ; 100,8.29012982130726e-05,0.013666914868198491
2021-04-17 14:47:34,291;aequilibrae;INFO ; 101,8.787072133311421e-05,0.007550637548820834
2021-04-17 14:47:34,401;aequilibrae;INFO ; 102,6.161128249279449e-05,0.003469893564116984
2021-04-17 14:47:34,508;aequilibrae;INFO ; 103,6.657241063692899e-05,0.01229749002626919
2021-04-17 14:47:34,622;aequilibrae;INFO ; 104,8.167044070162384e-05,0.03464957251372665
2021-04-17 14:47:34,740;aequilibrae;INFO ; 105,0.0001414576374072142,0.03008569999788365
2021-04-17 14:47:34,859;aequilibrae;INFO ; 106,0.00012121757399320895,0.028630490415200376
2021-04-17 14:47:34,968;aequilibrae;INFO ; 107,0.00011704430132177036,0.02053279740654791
2021-04-17 14:47:35,078;aequilibrae;INFO ; 108,9.038254132371769e-05,0.01643171579712536
2021-04-17 14:47:35,188;aequilibrae;INFO ; 109,8.387666013970133e-05,0.009313769399811954
2021-04-17 14:47:35,297;aequilibrae;INFO ; 110,7.179219523630746e-05,0.012667315989891804
2021-04-17 14:47:35,406;aequilibrae;INFO ; 111,7.448436904812397e-05,0.020824803367161995
2021-04-17 14:47:35,513;aequilibrae;INFO ; 112,7.979989740075749e-05,0.013504294625758263
2021-04-17 14:47:35,625;aequilibrae;INFO ; 113,5.897483887217545e-05,0.005681743864936771
2021-04-17 14:47:35,740;aequilibrae;INFO ; 114,4.7323229786052925e-05,0.0033947664658540012
2021-04-17 14:47:35,857;aequilibrae;INFO ; 115,4.842939726661058e-05,0.003146775536808957
2021-04-17 14:47:35,976;aequilibrae;INFO ; 116,4.563154194905452e-05,0.0035489091833194957
2021-04-17 14:47:36,087;aequilibrae;INFO ; 117,5.059960603699517e-05,0.0039053554962248994
2021-04-17 14:47:36,197;aequilibrae;INFO ; 118,5.821555765212339e-05,0.008433289711744854
2021-04-17 14:47:36,314;aequilibrae;INFO ; 119,4.734061248281531e-05,0.006424271038330147
2021-04-17 14:47:36,432;aequilibrae;INFO ; 120,4.1512853323518e-05,0.0038911295910861996
2021-04-17 14:47:36,547;aequilibrae;INFO ; 121,6.895367887826597e-05,0.006366486296626924
2021-04-17 14:47:36,658;aequilibrae;INFO ; 122,4.943347899615812e-05,0.003600174542769681
2021-04-17 14:47:36,771;aequilibrae;INFO ; 123,4.470149228085536e-05,0.002931474976126866
2021-04-17 14:47:36,881;aequilibrae;INFO ; 124,4.297729795714339e-05,0.004372143749949731
2021-04-17 14:47:36,997;aequilibrae;INFO ; 125,4.9340154583485815e-05,0.003937575765671787
2021-04-17 14:47:37,107;aequilibrae;INFO ; 126,4.4931361965770556e-05,0.0052015710481272
2021-04-17 14:47:37,218;aequilibrae;INFO ; 127,5.9110700767431376e-05,0.00462508922225291
2021-04-17 14:47:37,332;aequilibrae;INFO ; 128,5.349002801824068e-05,0.006201142476440424
2021-04-17 14:47:37,441;aequilibrae;INFO ; 129,5.066022086847016e-05,0.003932581426723981
2021-04-17 14:47:37,558;aequilibrae;INFO ; 130,4.689190681355335e-05,0.0036530846134161707
2021-04-17 14:47:37,677;aequilibrae;INFO ; 131,4.401634387996844e-05,0.005555564359199423
2021-04-17 14:47:37,798;aequilibrae;INFO ; 132,4.9174695175760693e-05,0.004923202284941793
2021-04-17 14:47:37,920;aequilibrae;INFO ; 133,5.454615795299822e-05,0.006761357674177249
2021-04-17 14:47:38,036;aequilibrae;INFO ; 134,5.575021436772312e-05,0.004405657887731475
2021-04-17 14:47:38,148;aequilibrae;INFO ; 135,4.423021687918707e-05,0.009432207560933091
2021-04-17 14:47:38,265;aequilibrae;INFO ; 136,5.5859176172311875e-05,0.006151534847700908
2021-04-17 14:47:38,383;aequilibrae;INFO ; 137,3.784444843339448e-05,0.004172526321895144
2021-04-17 14:47:38,498;aequilibrae;INFO ; 138,4.5353301272058954e-05,0.002836307879734656
2021-04-17 14:47:38,609;aequilibrae;INFO ; 139,3.730922711168715e-05,0.004509664552974913
2021-04-17 14:47:38,725;aequilibrae;INFO ; 140,4.252409771700488e-05,0.003471238206507213
2021-04-17 14:47:38,841;aequilibrae;INFO ; 141,3.787945404294633e-05,0.00265867800650777
2021-04-17 14:47:38,954;aequilibrae;INFO ; 142,4.2095720133652555e-05,0.004200780732637792
2021-04-17 14:47:39,070;aequilibrae;INFO ; 143,3.1391734633797105e-05,0.0030190988949694796
2021-04-17 14:47:39,179;aequilibrae;INFO ; 144,3.06079576465134e-05,0.004915568399315679
2021-04-17 14:47:39,296;aequilibrae;INFO ; 145,4.3983972452269225e-05,0.009686231995172868
2021-04-17 14:47:39,412;aequilibrae;INFO ; 146,5.351903624959028e-05,0.013353696684200684
2021-04-17 14:47:39,528;aequilibrae;INFO ; 147,4.881031581946219e-05,0.008309043770236477
2021-04-17 14:47:39,647;aequilibrae;INFO ; 148,5.207679784370856e-05,0.011647370191434471
2021-04-17 14:47:39,763;aequilibrae;INFO ; 149,4.8864532114904295e-05,0.011233207712515927
2021-04-17 14:47:39,880;aequilibrae;INFO ; 150,6.484308408818307e-05,0.02788509587230318
2021-04-17 14:47:39,991;aequilibrae;INFO ; 151,0.00010421522297476345,0.03222101875199709
2021-04-17 14:47:40,108;aequilibrae;INFO ; 152,8.739676388349688e-05,0.03513924540043108
2021-04-17 14:47:40,225;aequilibrae;INFO ; 153,7.588710308830355e-05,0.009391543256095626
2021-04-17 14:47:40,341;aequilibrae;INFO ; 154,5.404312128531366e-05,0.02921173275190168
2021-04-17 14:47:40,461;aequilibrae;INFO ; 155,5.855196014063865e-05,0.024091340020619835
2021-04-17 14:47:40,578;aequilibrae;INFO ; 156,6.824395525047108e-05,0.02575809186265512
2021-04-17 14:47:40,691;aequilibrae;INFO ; 157,6.6364331114116e-05,0.03139224706461122
2021-04-17 14:47:40,809;aequilibrae;INFO ; 158,5.179924566273819e-05,0.01245090137850565
2021-04-17 14:47:40,925;aequilibrae;INFO ; 159,5.028410127719972e-05,0.006634678867363248
2021-04-17 14:47:41,040;aequilibrae;INFO ; 160,4.2153620655231786e-05,0.0083193953365738
2021-04-17 14:47:41,156;aequilibrae;INFO ; 161,4.7029813194815996e-05,0.0102359521838705
2021-04-17 14:47:41,269;aequilibrae;INFO ; 162,4.8594840505608597e-05,0.007270890809473579
2021-04-17 14:47:41,388;aequilibrae;INFO ; 163,6.217446792120468e-05,0.007762342706180565
2021-04-17 14:47:41,504;aequilibrae;INFO ; 164,4.430261931839542e-05,0.005698278243894846
2021-04-17 14:47:41,615;aequilibrae;INFO ; 165,3.6481494124569236e-05,0.0019992573715327464
2021-04-17 14:47:41,730;aequilibrae;INFO ; 166,3.601298162686114e-05,0.004095081278464207
2021-04-17 14:47:41,847;aequilibrae;INFO ; 167,3.9283658653629525e-05,0.005546604961152851
2021-04-17 14:47:41,967;aequilibrae;INFO ; 168,5.107591676286212e-05,0.005767082460610917
2021-04-17 14:47:42,083;aequilibrae;INFO ; 169,3.704079416107907e-05,0.006347864907495812
2021-04-17 14:47:42,200;aequilibrae;INFO ; 170,4.900138805345036e-05,0.006970838727652073
2021-04-17 14:47:42,316;aequilibrae;INFO ; 171,4.912389218308348e-05,0.007000197661277088
2021-04-17 14:47:42,425;aequilibrae;INFO ; 172,4.2483463874067196e-05,0.004434353295278713
2021-04-17 14:47:42,545;aequilibrae;INFO ; 173,4.128950530147621e-05,0.006207794879600489
2021-04-17 14:47:42,653;aequilibrae;INFO ; 174,5.395758766902535e-05,0.010674300559739261
2021-04-17 14:47:42,765;aequilibrae;INFO ; 175,5.5712728552706355e-05,0.008833602599826098
2021-04-17 14:47:42,874;aequilibrae;INFO ; 176,5.430930068484898e-05,0.013346136513949353
2021-04-17 14:47:42,982;aequilibrae;INFO ; 177,4.5148395738130764e-05,0.010392963718858651
2021-04-17 14:47:43,088;aequilibrae;INFO ; 178,3.112722241729559e-05,0.003681660650860808
2021-04-17 14:47:43,195;aequilibrae;INFO ; 179,3.246509973017445e-05,0.004290107722252259
2021-04-17 14:47:43,307;aequilibrae;INFO ; 180,3.6838486222892205e-05,0.004606497422434051
2021-04-17 14:47:43,419;aequilibrae;INFO ; 181,3.983920842974962e-05,0.005702591398589588
2021-04-17 14:47:43,528;aequilibrae;INFO ; 182,3.649938420873271e-05,0.004849960604252059
2021-04-17 14:47:43,646;aequilibrae;INFO ; 183,3.681782306587228e-05,0.004947580721472536
2021-04-17 14:47:43,765;aequilibrae;INFO ; 184,2.7609561575641813e-05,0.00418806108417923
2021-04-17 14:47:43,883;aequilibrae;INFO ; 185,3.194718135555313e-05,0.005232177891756715
